programName,programOriginator,programType,programDistribution,programDescription,creditRequirement,maxDebtToIncome,blocks,neighborhoods,city-town,county,state,amountOfAssistance,limitFirstTimeHomeBuyers,householdIncomeRestrictions,amiLimit,ami,fixedRateMortgagesOnly,mortgageAmountNotToExceed,employerParticipationRequired,mustBePrimaryResidence,mustContributeAmount,mustEarnCounselingCertificate,requiresInspection,eligibilityLimitations,eligible,getStarted,atAGlance,canBeCombined,canBeCombinedWith,participatingLenders,programContact,programLink
Maryland Mortgage Program Flex 3% Grant - Targeted,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,"Offers Maryland homebuyers a low Maryland Mortgage Program (MMP) interest rate product and a 3% Down Payment and Closing Cost Assistance loan, 0% interest, 30 years, deferred.
HomeCredit is available with this program and all Flex products.
This product may also benefit from the Freddie Mac DPA assistance under the Special Assistance Grant, if eligible, which offers an outright grant of $2,500 for borrowers with income not exceeding 50% of the Area Median Income (AMI) and $1,500 for borrowers above 50% and not exceeding 80% of the Area Median Income (AMI).",,,,,,,,3% of Loan,,,,,,,,,,,,,,,,,"This product may also benefit from the Freddie Mac DPA assistance under the Special Assistance Grant, if eligible, which offers an outright grant of $2,500 for borrowers with income not exceeding 50% of the Area Median Income (AMI) and $1,500 for borrowers above 50% and not exceeding 80% of the Area Median Income (AMI).",https://mmp.maryland.gov/Pages/Find-A-Lender.aspx,800-756-0119,
Maryland SmartBuy 2.0 - Targeted,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,"Program helps to manage the overall housing expenses for a borrower who is purchasing an eligible property and has an existing student debt (which can be in repayment or deferred status) balance of a minimum of $1,000 and up to a maximum of 15% of the home purchase price (but not higher than $40,000).
The full student debt for at least one borrower must be entirely paid off at the time of the home purchase; partial loan payment is not permitted under this program.
If the borrower desires it, a third mortgage will be provided by CDA as a regular Down Payment Assistance loan of $5,000, 0% deferred (due upon sale, payoff, transfer, or refinance of the first mortgage), subordinated to the first and second mortgage",,,,,,,,15% of Price,,,,,,,,,,,,,,,,,"If the borrower desires it, a third mortgage will be provided by CDA as a regular Down Payment Assistance loan of $5,000, 0% deferred (due upon sale, payoff, transfer, or refinance of the first mortgage), subordinated to the first and second mortgage.",https://mmp.maryland.gov/Pages/SmartBuy/Lenders.aspx,1-800-638-7781,
Down Payment Settlement Expense Loan Program (DSELP),"Maryland Department of Housing and Community Development, Maryland Mortgage Program",Deferred Second Mortgage,,DSELP provides 0 percent deferred second mortgage loans to eligible homebuyers to cover settlement expenses when applicants use a CDA Maryland Mortgage Program. Please see the State's Web site at www.dhcd.state.md.us for more program details.,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhcd.baltimorecity.gov/hho/state-mortgage-programs-and-homeownership-assistance
Maryland Mortgage Program 1st Time Advantage 5000,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",,,"The Maryland Mortgage Program (MMP) helps homebuyers in Maryland achieve their dream of homeownership through a range of programs that make purchasing and owning a home more affordable. MMP home loans are 30-year fixed-rate loans available as either Government or Conventional insured loans. 1st Time Advantage loans are designed to offer eligible homebuyers the lowest 30-year fixed interest rate available for Maryland Mortgage Program loans. The 1st Time Advantage 5000 loan comes with a $5,000 loan for down payment and closing costs, structured as a 0% deferred interest second lien.",,,,,,,,"$5,000",,TRUE,,,TRUE,,,TRUE,,TRUE,,"You must earn a homeownership counseling certificate before closing on your home.
You may not own other properties at the time of closing.
You must live in this home as your primary residence.
You must use a Maryland Mortgage Program-approved lender.
For purchases in Baltimore City, this program is not limited to first-time homebuyers.
Your mortgage amount cannot exceed Maryland Mortgage Program limits.
Household income cannot exceed Maryland Mortgage Program limits
The Maryland HomeCredit Program cannot be used with 1st Time Advantage loans.
Maryland Mortgage Program Partner Match can be used with the 1st Time Advantage 5000 loan.",Baltimore City homebuyers who meet income and other program requirements,Complete homeownership counseling and contact a Maryland Mortgage Program-approved lender,"$5,000",,,,,
Maryland HomeCredit,"Maryland Department of Housing and Community Development, Maryland Mortgage Program",Tax Credit,,"The Maryland HomeCredit Program provides a Mortgage Credit Certificate (MCCs) which entitles eligible borrowers to take a federal income tax credit equal to 25% of the interest paid during that tax year on a mortgage loan covered by the MCC, up to a maximum of $2,000 per year. Borrowers can use the MD HomeCredit program in conjunction with select Maryland Mortgage Program (MMP) loans, or by utilizing an eligible loan offered by a MD HomeCredit-approved lender",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://livebaltimore.com/resident-resources/financial-incentives/maryland-homecredit/
Maryland Historic Revitalization Tax Credit Program,Maryland Historical Trust,Tax Credit,,"The Maryland Historic Revitalization Tax Credit allows homeowners to earn a state income tax credit for renovating historic homes. The tax credit offers homeowners up to 20% of eligible rehabilitation costs. The tax credit may be used for projects that return a structure to a state of utility through repair or alteration, making possible an efficient use while preserving portions and features of the structure, site and environment that are historically, architecturally or culturally significant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://livebaltimore.com/resident-resources/financial-incentives/maryland-historic-revitalization-tax-credit-program/
Maryland Renters’ Tax Credit,Maryland State Department of Assessments & Taxation,Tax Credit,,"The Renters’ Tax Credit Program provides property tax credits for renters who meet certain requirements. The plan was modeled after and designed to be similar in principle to the Homeowners’ Tax Credit Program. The concept rests on the reasoning that renters indirectly pay property taxes as part of their rent and thus should have some protection, as do homeowners.

The plan is based upon the relationship between rent and income. If the portion of rent attributable to the assumed property taxes exceeds a fixed amount in relation to income, the renter can, under specified conditions, receive a credit of as much as $1,000. The credit is paid as a direct check from the State of Maryland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://livebaltimore.com/resident-resources/financial-incentives/maryland-renters-tax-credit/
Homestead Property Tax Credit,Maryland State Department of Assessments & Taxation,Tax Credit,,"The Homestead Property Tax Credit was designed to limit the amount of the annual increase in taxable assessments for eligible owner occupied properties. The program protects homeowners from increases in taxable assessment above the level established by local law, in Baltimore City the annual cap is 4%. The credit is applied against the taxes due on the portion of the reassessment exceeding the 4% homestead cap. The credit is applied directly to the property owner’s tax bill.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://livebaltimore.com/resident-resources/financial-incentives/homestead-property-tax-credit/
Dream Makers,Military Heroes Fund Foundation,Down Payment & Closing Costs,,"What We Support
Dream Makers provides matching grants for down payment and closing cost assistance. Please carefully read the eligibility requirements below for both the applicant and the mortgage. The amount of the grant is determined by a 2-to-1 match of the borrower’s contribution to their mortgage in earnest deposit and cash brought at closing with a maximum grant of $5,000. The borrower must contribute a minimum of $500. Click here to view the Dream Makers Contribution Charts.

Grant approvals are contingent upon available funding. You don’t have to be a Pentagon Federal Credit Union member to benefit from Dream Makers, and you can apply the grant to a mortgage from any financial institution (please read mortgage requirements below).

All approved applications are valid for 90 days after being submitted. Application conditional approvals may take up to 5 business days. Any applicant that has not closed on their home within the 90 day period must reapply. Grants will not be awarded after closing.

What You’ll Need
A pre-approval or pre-qualification letter from your lender.
Additional documents will be requested if Conditional Approval is received.
Eligibility Requirements
Active Duty, Reserve, National Guard or Veteran
First-time home buyer, or you have not owned a home for the last three years, or you have lost your home through divorce or disaster
Gross annual income of all applicants used to qualify for mortgage is no more than 80% of area median income, adjusted for household size. Click here to determine the income limit based on the household size for the state and county in which you’re planning to purchase.
Received mortgage pre-qualification or pre-approval letter from any lender
All approved applications are valid for 90 days after being submitted. Any applicant that has not closed on their home within the 90 day period must reapply. Grants will not be awarded after closing.
Mortgage requirements:

Types of mortgages accepted include VA, FHA, or Conventional
All loans must have a 25 or 30-year repayment term and a fixed rate
Maximum Loan to Values apply (learn more about Loan to Value ratios here):
All loans must be 97% LTV or less
For Applicants whose loans are originated with PenFed Credit Union, VA loans can go up to but not exceed 100% LTV
If applicants have a VA Rating of 100% and their income is limited to VA Disability payments and Social Security Disability Income or Social Security, the mortgage can have a loan to value of 100% (this is a temporary expansion and may not be available after 6/30/2020).
Mortgage can be received from any Lender
A pre-qualification or pre-approval letter from the Lender must be uploaded as part of the application.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://penfedfoundation.org/apply-for-assistance/dream-makers/
NACA,NACA,0% Down Mortgage,,NACA is the best purchase program in America. NACA provides both comprehensive housing counseling and access to an incredible mortgage. NACA has over $13 Billion committed from some the country's largest lenders with everyone receiving these extraordinary terms:,,,,,,,,,,,,,,,,,,,,,,,,,,https://mmp.maryland.gov/Pages/Find-A-Lender.aspx,https://mmp.maryland.gov/Pages/Homebuyer-Education-Classes.aspx,
NHF Down Payment Assistance,"National Homebuyers Fund, Inc.",Down Payment & Closing Costs,,"One of the biggest challenges for homebuyers is coming up with the funds to cover the down payment requirements and/or closing costs associated with a mortgage loan. To bridge that gap, NHF provides down payment and/or closing cost assistance (DPA), up to 5% of the mortgage loan amount.

NHF DPA is provided in the form of either a Gift or a zero interest rate Second Mortgage that is forgiven after three years. It is available in all 50 U.S. States and qualifying guidelines are flexible.

NHF DPA highlights(1):

NHF DPA is provided as a Gift or a forgivable Second Mortgage
There is no requirement that a borrower be a first-time homebuyer to qualify
FICO score requirements and allowable debt-to-income ratios are flexible
NHF DPA programs features generous income limits; higher than might be expected
FHA, VA, USDA and Conventional Mortgage Loan financing is available
NHF DPA is available for both purchase and refinance of a primary residence
Sponsored by NHF and available nationwide through Participating Lenders",,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.nhfloan.org/programs.html
LEDC NeighborhoodLIFT Program,Neighborhoodlift® Down Payment Assistance Program,Down Payment & Closing Costs,,"$20,000 Grant Funds to Buy Your Home in Washington, DC or Prince George’s County

***Military, First Responders, or Teachers are eligible for an additional $2,500 in assistance***

Program Guidelines:

Your income cannot be more than 100% of the area median income (AMI) to qualify. If more than one person will be on the mortgage, the sum of your incomes must be within the income limits for your household size
The home you purchase must be your primary residence and located in Washington, D.C. or Prince George’s County.
You don’t have to repay the grant if you live in the home for five years.
You need to be approved for a first mortgage by an approved lender.
You must complete homebuyer education before your closing.
Assistance is available for military and non-military customers.
After the event, you must have a home purchase agreement within 60 days to qualify for a grant.
Steps to Qualify:

Hold a Grant Reservation from the February DC NeighborhoodLift® Launch Event
Attend an 8 Homebuyer Education Training at LEDC
Receive Individual Housing Counseling at LEDC
Register for One of Our Upcoming 8 Homebuyer Education Trainings:

March 9th English-DC
March 9th Spanish-MD
March 16th English-DC
March 16th English-MD
For more information contact LEDC Housing:

202-540-7401 direct | 240-705-9749 text | housing@ledcmetro.org e-mail",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ledcmetro.org/neighborhoodlift_down_payment_assistance_program
NHS Baltimore NeighborhoodLIFT Program,Neighborhoodlift® Down Payment Assistance Program,Down Payment & Closing Costs,,Neighborhood Housing Services of Baltimore is proud to be part of the NeighborhoodLIFT program in collaboration with Wells Fargo and NeighborWorks® America. Discover the possibilities of homeownership and find out if it’s right for you!,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nhsbaltimore.org/lift/
MANNA NeighborhoodLIFT Program,Neighborhoodlift® Down Payment Assistance Program,Down Payment & Closing Costs,,"Provides eligible homebuyers with $20,000 in down payment assistance on qualified properties ($22,500 for qualified veterans and service members, teachers, law enforcement officers, firefighters and emergency medical technicians) View First Responder, Military & Teacher Benefit Information here

Provides homebuyer education that will prepare you for finding and financing a home and for managing the financial responsibilities of homeownership... click here for full approved list.
Assistance is not limited to first-time buyers only.

Borrowers’ annual income in combination with household size must be at or below the income limits set for the program in Washington, DC and Prince George County. Income limits are higher for military service members, veterans, law enforcement officers, Pre-K-12th grade teachers, firefighters and emergency medical technicians. View Income Limits (HUD income limits increased on April 24, 2019)
View First Responder, Military & Teacher Benefit Information here

Properties qualified for the program must be:
1. Located in Washington, DC or Prince George’s County, MD. Click here to view map
2. The primary residence/owner-occupied home by borrower applying for Lift.
3. A single-family home (attached or detached), 2-4-unit home, condominium, townhome, PUD, co-op, land trust or qualified manufactured home",,,,,,,,,,,,,,,,,,,,,,,,,,,,http://mannahoc.org/neighborhoodlift
The Tu Hogar Program,NHS Baltimore,,,The Tu Hogar program is a home purchase loan that assists individuals without traditional credit history in qualifying for a mortgage. For more information please visit our partners at Southeast CDC or the Latino Economic Development Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nhsbaltimore.org/dpa/
Consumer Small Dollar Loan For Rehab,NHS Baltimore,Home Repair Loan,,"If you do not have enough equity in your house but need repairs, then this is the route for you.

ELIGIBILITY:
- Must be employed continuously for 1 year
- Must have direct deposit
- Must reside in Baltimore City or County
- Must have credit score of at least 620
For more information contact Rena Somar at:

rsomar@nhsbaltimore.com or call 410-327-1200 (ext.116)


REQUIREMENTS:
LOANS

Up to $3000

REPAYMENT TIME

Up to 3 years

INTEREST RATE

8%

EMPLOYMENT

Must be employed continuously for 1 year

REPAYMENT SCHEDULE

Monthly ACH payment optional

BANKING REQUIREMENT

Must have bank account

UNDERWRITING

Must have an ability to repay the loan

CREDIT

Credit score of 620 and above.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nhsbaltimore.org/dpa/
BOOST/Alternate Credit Loan,NHS Baltimore,,,"BOOST loan is a home purchase loan that assists individuals without traditional credit history in qualifying for a mortgage.

ELIGIBILITY:
With this loan you could borrow up to $75,000 for the purchase of a primary single family residence. The borrower must:

- Occupy the property as a primary residence and cannot own another property
- Purchase the property in Baltimore City.
- Obtain a Housing Counseling certificate from a HUD-Approved counseling agency and have obtained 8 hours of homebuyer education
For more information contact Rena Somar at:

rsomar@nhsbaltimore.com


REQUIREMENTS:
LOANS

Fixed rate up to $75,000
$5K of the $75K can be set aside or repairs

REPAYMENT TIME

15 years

INTEREST RATE

6%

PURCHASE PRICE LIMIT

No limit

MAXIMUM CLTV

105%

CREDIT SCORE

680 minimum score or alternate credit: 12 months of on-time rent & two other trade lines showing 12 months of on-time payment

ESCROW

Homeowner’s insurance required
Escrow of taxes and insurance required",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nhsbaltimore.org/dpa/
Project Reinvest Program Information,NHS Baltimore,Down Payment & Closing Costs,,"Project Reinvest Program Information

Provides eligible homebuyers with up to $10,500 of down payment assistance to buyers purchasing in Baltimore City
Provides homebuyer education that can prepare you for finding and financing a home and for managing the financial responsibilities of homeownership
Assistance is not limited to first-time buyers
Household income must meet guidelines for ALL persons 18 and older living in the home
Properties qualified for the Program must be:
Located within the City of Baltimore
The primary, owner-occupied home of the buyer(s)
A detached home, townhouse, condominium, 1-4 unit property, or Planned Unit Development
NHS of Baltimore is currently making 3 million dollars indown payment assistance available. Potential home buyers ready with the necessary qualifications and documents will be able to register on line for first-come, first-served appointments.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nhsbaltimore.org/dpa/
Quick Fix Loan,NHS Baltimore,Home Repair Loan,,"With this mortgage loan product, you could install a new heat pump or insulate your attic and improve efficiency. You can choose your own contractor to complete the work and may close in as little as 30 days. Borrow up to $7,500 at a 5% interest rate payable for 5 years.

ELIGIBILITY:
- Must reside at or below 120% of the Area Median Income
- Must reside in Baltimore City or County
- Must have credit score of at least 620
- Must have equity in the amount of the loan
For more information contact NHS at:

dbarrera@nhsbaltimore.com


REQUIREMENTS:
LOANS

$3001 - $7500

REPAYMENT TIME

Up to 7 years

INTEREST RATE

5%

EMPLOYMENT

Must be employed continuously for 1 year

REPAYMENT SCHEDULE

Monthly direct deposit option

BANKING REQUIREMENT

Must have direct deposit

UNDERWRITING

Must have an ability to repay the loan

CREDIT

Credit score of 620 and above.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nhsbaltimore.org/dpa/
Large Renovation Loan,NHS Baltimore,Home Repair Loan,,"ELIGIBILITY:
With this loan you could borrow up to $30,000 at a 0% - 4% interest rate. Payments can be deferred until you sell your home depending on your ability to repay the loan. Use this loan to cover costly improvements such as new roof, furnace, electric or plumbing.

- Must reside at or below 120% of the Area Median Income
- Must reside in Baltimore City or County
- Credit reviewed
- No medical collections over $1000
- No judgements no liens
For more information contact NHS at:

intake.rehab@nhsbaltimore.com


REQUIREMENTS:
LOANS

$7501 - $30,000

REPAYMENT TIME

Up to 20 years

INTEREST RATE

0% - 4%

EMPLOYMENT

Must have 1 year stable income

REPAYMENT SCHEDULE

Based on the ability to repay

BANKING REQUIREMENT

No requirement

UNDERWRITING

Must have an ability to repay the loan

CREDIT

Credit reviewed no score required",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nhsbaltimore.org/dpa/
NeighborhoodEdge® Closing Cost Assistance,PrimeLending,Closing Cost Assistance,,"exclusively offered by PrimeLending, this program offers up to $2,000 in closing cost assistance for qualified homebuyers in all 50 states; the property must be located in a low-to-moderate census tract area. In addition, FHA, VA and USDA loans are eligible for this program.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.primelending.com/home-loans/down-payment-assistance/
New Neighbor Homeownership,The City of College Park,Down Payment & Closing Costs,,"The City of College Park is offering $5,000 in down payment or closing cost assistance, on a first-come, firstserved basis, to encourage the conversion of previously rented single-family properties, which have been rented for two years or more, to owner-occupied housing. Additionally, to address the proliferation of short sales and foreclosed properties in the City, the New Neighbor Program can also be used for purchasing single-family homes and condominiums that are being sold as short sales or that are in foreclosure, for use as primary residences by the purchasers. Also, anyone purchasing a newly constructed detached single family home within the City of College Park is eligible for the grant. Lastly, to encourage police officers, career and volunteer firefighters, emergency medical technicians and city employees to make their homes in College Park, the New Neighbor Program can be used by these individuals to purchase any City property. Funds are provided at settlement for use toward purchase of the property and these funds may be combined with other federal, state and local homeownership assistance programs",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.collegeparkmd.gov/DocumentCenter/View/371/Homeownership-Grant-and-Application-2018?bidId=
Employer-based Small Dollar Loan,The Community Loan Center of the Chesapeake,,,"ELIGIBILITY:
The Community Loan Center of the Chesapeake offers employers in 5 Maryland counties the ability to offer their employees a way to overcome financial hardships. Learn more here.

- Must work at a participating employer for at least 3 months
- Must have a checking account
- Must be eligible for employee benefits
- Must have an ability to repay the loan
For more information contact Rena Somar at:

rsomar@nhsbaltimore.com or call 410-327-1200 (ext.116)


REQUIREMENTS:
LOANS

$400 - $1000

REPAYMENT TIME

12 months

Free financial counseling available

INTEREST RATE

18% + $20 administrative fee

EMPLOYMENT

Working at a participating employer for at least 3 months

REPAYMENT SCHEDULE

Loans are automatically repaid through payroll deduction

No prepayment penalties

BANKING REQUIREMENT

Checking account

UNDERWRITING

Must have an ability to repay the loan

CREDIT

No credit history or collateral needed",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nhsbaltimore.org/dpa/
VHDA Mortgage Credit Certificates,The Virginia Housing Development Authority,Tax Credit,,"If you’re buying your first home, a Mortgage Credit Certificate (MCC) from VHDA could save you thousands of dollars by reducing the amount of federal income tax you owe.


Unlike an income tax deduction, an MCC is a dollar-for-dollar credit against your federal income tax liability:

The credit is equal to 10 percent of the annual mortgage interest you pay.
The remaining 90 percent may still be taken as a tax deduction.
The MCC is effective for the life of your mortgage, as long as you live in the home.
If your lender submits your application to Virginia Housing by close of business April 14, 2020, the credit may be equal to 20 percent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.vhda.com/Homebuyers/Pages/mortgagecreditcertificates.aspx
VHDA Down Payment Assistance Grant,The Virginia Housing Development Authority,Down Payment & Closing Costs,,"The Virginia Housing Development Authority (VHDA) offers the Down Payment Assistance (DPA) Grant in order to help individuals get out of the renters trap. They realize that many people who are able to make their monthly mortgage payments, don’t always have enough money saved for a down payment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fha.com/grants/virginia-down-payment-assistance-grant
Lease to Own,Trio,Lease to Own,,"Trio is the new, innovative way to achieve home financing. Using its proprietary lease-to-own financing program, Trio is the contemporary option toward owning. Trio provides you the ability to live in the home you want to own while building equity for its purchase in the future.

From renting to owning, with a step in between, helping you successfully jump into homeownership… that’s Trio, the third and new option.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.thinktrio.com/
Single Family Housing Repair Loans & Grants,U.S. Department of Agriculture,Home Repair Loan,,"Also known as the Section 504 Home Repair program, this provides loans to very-low-income homeowners to repair, improve or modernize their homes or grants to elderly very-low-income homeowners to remove health and safety hazards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.rd.usda.gov/programs-services/single-family-housing-repair-loans-grants
Single Family Housing Direct Home Loans in Arizona,U.S. Department of Agriculture,0% Down Mortgage,,"Also known as the Section 502 Direct Loan Program, this program assists low- and very-low-income applicants obtain decent, safe and sanitary housing in eligible rural areas by providing payment assistance to increase an applicant’s repayment ability. Payment assistance is a type of subsidy that reduces the mortgage payment for a short time. The amount of assistance is determined by the adjusted family income.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.rd.usda.gov/programs-services/single-family-housing-direct-home-loans
USDA Loan,U.S. Department of Agriculture,0% Down Mortgage,,"The U.S. Department of Agriculture also insures 0% down payment loans. The catch is you must buy a home in a rural area and meet certain income requirements. Carefully consider what’s important to you in a home and a location. If you want something walkable in a more urban setting, a USDA loan probably isn’t right for you.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://studentloanhero.com/featured/first-time-homebuyer-grants-programs/#first
Single Family Housing Guaranteed Loan Program,U.S. Department of Agriculture,0% Down Mortgage,,"he Section 502 Guaranteed Loan Program assists approved lenders in providing low- and moderate-income households the opportunity to own adequate, modest, decent, safe and sanitary dwellings as their primary residence in eligible rural areas. Eligible applicants may purchase, build, rehabilitate, improve or relocate a dwelling in an eligible rural area with 100% financing. The program provides a 90% loan note guarantee to approved lenders in order to reduce the risk of extending 100% loans to eligible rural homebuyers – so no money down for those who qualify!",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.rd.usda.gov/programs-services/single-family-housing-guaranteed-loan-program
VA Loan,U.S. Department of Veterans Affairs,0% Down Mortgage,,"Active-duty service members, veterans and their eligible spouses may qualify for a loan insured by the U.S. Department of Veterans Affairs. The advantage here is that you won’t need to make a down payment to qualify for a VA loan. VA borrowers also don’t have to pay mortgage insurance premiums.

On top of that, the VA also offers adapted housing grants. These can help you purchase an adapted home or make a home more accessible to accommodate a service-related disability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://studentloanhero.com/featured/first-time-homebuyer-grants-programs/#first
USDA Home Loan,United States Department of Agriculture,,,"The USDA Home Loan Program is available to low- to moderate-income buyers purchasing a home in a rural development area. These areas, defined by the U.S. Department of Agriculture are not always as “rural” as you may think, so it’s a great idea to check even if you’re buying in a moderately populated area. Qualified applicants who do not exceed the established area income limits can enjoy up to 102% financing to finance not only the cost of the home, but the guarantee fee as well, saving buyers money upfront.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://reviewmymortgage.com/loan-program/usda-loans/?wpv-wpcf-available-in=Maryland
VA Loan,United States Department of Veteran Affairs,,,VA Loans are designed to assist veterans purchase a home. Active duty military and veterans across the nation will enjoy the desirable loan terms and low interest rates that often come with a VA loan. Additional benefits like no down payment requirement help make home buying an affordable and cost-effective reality for those who have served and continue to serve our country.,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://reviewmymortgage.com/loan-program/va-loans/?wpv-wpcf-available-in=Maryland
Special Housing Adaptation TRA Grant,US Department of Veteran Affairs,Home Repair Grant,,"What if I need money to make changes to a family member’s home that I’m living in for a short period of time?
You may be able to get a Temporary Residence Adaptation (TRA) grant if you meet both of the requirements listed below.

Both of these must be true. You:

Qualify for an SAH or SHA grant (see above), and
Are living temporarily in a family member’s home that needs changes to meet your needs. (To use a TRA grant, you don't have to own the house.)
If you qualify for an SAH grant, you can get up to $37,597 through the TRA grant program for FY 2019.

If you qualify for an SHA grant, you can get up to $6,713 through the TRA grant program for FY 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.va.gov/housing-assistance/disability-housing-grants/
Native American Direct Loan,US Department of Veteran Affairs,0% Down Mortgage,,"If you’re a Veteran, and either you or your spouse is Native American, our Native American Direct Loan (NADL) program may help you get a loan to buy, build, or improve a home on federal trust land. You may also get a loan to refinance an existing NADL and reduce your interest rate. Find out if you qualify for a NADL—and how to apply.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.va.gov/housing-assistance/home-loans/loan-types/native-american-direct-loan/
Disability housing grants for Veterans,US Department of Veteran Affairs,,,We offer housing grants for Veterans and service members with certain service-connected disabilities so they can buy or change a home to meet their needs and live more independently. Changing a home might involve installing ramps or widening doorways. Find out if you’re eligible for a disability housing grant—and how to apply.,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.va.gov/housing-assistance/disability-housing-grants/
Special Housing Adaptation (SHA) Grant,US Department of Veteran Affairs,Down Payment & Closing Costs,,"Can I get a Special Housing Adaptation (SHA) grant—and how much funding does this grant offer?
You may be able to get an SHA grant if you’re using the grant money to buy, build, or change your permanent home (a home you plan to live in for a long time) and you meet both of the requirements listed below.

Both of these must be true:

You or a family member own or will own the home, and
You have a qualifying service-connected disability
Qualifying service-connected disabilities include:

Blindness in both eyes (with 20/200 visual acuity or less)
The loss or loss of use of both hands
Certain severe burns
Certain respiratory or breathing injuries
For FY 2019, you may be able to get up to 3 grants—for a total of up to $17,130—through the SHA grant program.

Learn more about how to apply for a housing grant",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.va.gov/housing-assistance/disability-housing-grants/
Specially Adapted Housing (SAH) Grant,US Department of Veteran Affairs,Down Payment & Closing Costs,,"Can I get a Specially Adapted Housing (SAH) grant—and how much funding does this grant offer?
You may be able to get an SAH grant if you’re using the grant money to buy, build, or change your permanent home (a home you plan to live in for a long time) and you meet both of the requirements listed below.

Both of these must be true. You:

Own or will own the home, and
Have a qualifying service-connected disability
Qualifying service-connected disabilities include:

The loss or loss of use of more than one limb
The loss or loss of use of a lower leg along with the residuals (lasting effects) of an organic (natural) disease or injury
Blindness in both eyes (having only light perception) along with the loss or loss of use of a leg
Certain severe burns
The loss or loss of use of one or both lower extremities (feet or legs) after September 11, 2001, that makes it so you can’t balance or walk without the help of braces, crutches, canes, or a wheelchair
Note: Only 30 Veterans and service members each fiscal year (FY) can qualify for a grant based on the loss of extremities after September 11, 2001, as set by Congress. If you qualify for but don’t receive a grant in 2019 because the cap was reached, you may be able to use this benefit in FY 2020 or future years if the law continues to give us the authority to offer these grants and we don’t go beyond the new FY cap.
For FY 2019, you may be able to get up to 3 grants—for a total of up to $85,645—through the SAH grant program.

Learn more about how to apply for a housing grant",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.va.gov/housing-assistance/disability-housing-grants/
